producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria
80,2025-02-21 17:24:02,Intel Core i7-14700 2.1/5.4GHz Box,https://www.pccomponentes.com/intel-core-i7-14700-21-54ghz-box,"371,99€","459,90€","4,4/5",34 opiniones,Intel
81,2025-02-21 17:24:02,Intel Core i7-12700K 3.6 GHz,https://www.pccomponentes.com/intel-core-i7-12700k-36-ghz,"284,26€",,"4,8/5",532 opiniones,Intel
82,2025-02-21 17:24:02,Intel Core Ultra 5 245K 4.2/5.2GHz Box,https://www.pccomponentes.com/procesador-intel-core-ultra-5-245k-42-52ghz-box,"333,66€","399,99€","4,5/5",5 opiniones,Intel
83,2025-02-21 17:24:02,Intel Core i7-12700KF 3.6 GHz,https://www.pccomponentes.com/intel-core-i7-12700kf-36-ghz,"264,99€",,"4,8/5",393 opiniones,Intel
84,2025-02-21 17:24:02,Intel Core i9-12900K 3.2 GHz,https://www.pccomponentes.com/intel-core-i9-12900k-32-ghz,"377,43€",499€,"4,8/5",313 opiniones,Intel
85,2025-02-21 17:24:02,Intel Core i5-14600K 3.5/5.4GHz Box,https://www.pccomponentes.com/intel-core-i5-14600k-35-54ghz-box,"282,38€","314,99€","4,7/5",63 opiniones,Intel
86,2025-02-21 17:24:02,Intel Core i9-14900KS 3.2/6.2GHz Box,https://www.pccomponentes.com/intel-core-i9-14900ks-32-62ghz-box,"825,95€",,"3,7/5",18 opiniones,Intel
87,2025-02-21 17:24:02,Intel Core Ultra 7 265KF 3.3/5.5GHz Box,https://www.pccomponentes.com/procesador-intel-core-ultra-7-265kf-33-55ghz-box,"463,99€",,"4,9/5",7 opiniones,Intel
88,2025-02-21 17:24:02,Intel Core i5-13500 2.5 GHz/4.8 GHz,https://www.pccomponentes.com/intel-core-i5-13500-25-ghz-48-ghz,"218,99€",,"4,8/5",130 opiniones,Intel
89,2025-02-21 17:24:02,Intel Core i5-14500 2.6/5GHz Box,https://www.pccomponentes.com/intel-core-i5-14500-26-5ghz-box,"273,99€",,"4,6/5",63 opiniones,Intel
90,2025-02-21 17:24:02,Intel Core i7-13700K 3.4 GHz Box,https://www.pccomponentes.com/intel-core-i7-13700k-34-ghz-box,"399,95€",,"4,8/5",305 opiniones,Intel
91,2025-02-21 17:24:02,Intel Core Ultra 5 235 3.4/5.0GHz Box,https://www.pccomponentes.com/procesador-intel-core-ultra-5-235-34-50ghz-box,"310,99€",,,,Intel
92,2025-02-21 17:24:02,Intel Core i5-10400 2.90 GHz,https://www.pccomponentes.com/intel-core-i5-10400-290-ghz,"144,80€",,"4,7/5",799 opiniones,Intel
93,2025-02-21 17:24:02,Intel Core i5-12600KF 3.7 GHz,https://www.pccomponentes.com/intel-core-i5-12600kf-37-ghz,"169,94€",,"4,7/5",339 opiniones,Intel
94,2025-02-21 17:24:02,Intel Core i7-13700 2.1 GHz/5.2 GHz,https://www.pccomponentes.com/intel-core-i7-13700-21-ghz-52-ghz,"362,99€",,"4,6/5",36 opiniones,Intel
95,2025-02-21 17:24:02,Intel Core i9-13900K 3 GHz Box,https://www.pccomponentes.com/intel-core-i9-13900k-3-ghz-box,549€,,"4,8/5",235 opiniones,Intel
