producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones
1100,2025-02-28 13:33:42,"ASUS TUF Gaming A15 FA507RM-HN003 AMD Ryzen 7 6800H/16GB/1TB SSD/RTX 3060/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-tuf-gaming-a15-fa507rm-hn003-amd-ryzen-7-6800h-16gb-1tb-ssd-rtx-3060-156,0,0,"4,6/5",0
1101,2025-02-28 13:33:56,Portátil ASUS TUF Gaming A16 Advantage Edition FA617NSR-N3029 AMD Ryzen 7 7435HS/16GB/512GB SSD/RX 7,https://www.pccomponentes.com/portatil-asus-tuf-gaming-a16-advantage-edition-fa617nsr-n3029-amd-ryzen-7-7435hs-16gb-512gb-ssd-rx-7600s-16,"1098,99€",0,4/5,0
1102,2025-02-28 13:34:12,"ASUS TUF Gaming F15 FX506LH-HN042 Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-tuf-gaming-f15-fx506lh-hn042-intel-core-i5-10300h-16gb-512gb-ssd-gtx-1650-156,0,0,"4,6/5",0
1103,2025-02-28 13:34:26,"ASUS TUF Gaming F15 FX506LHB-HN324 Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-tuf-gaming-f15-fx506lhb-hn324-intel-core-i5-10300h-16gb-512gb-ssd-gtx-1650-156,0,0,"4,5/5",0
1104,2025-02-28 13:34:42,"Portátil ASUS VivoBook 15 F1504VA-NJ1711 Intel Core i5-1334U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-asus-vivobook-15-f1504va-nj1711-intel-core-i5-1334u-16gb-512gb-ssd-156,"519,01€",0,0,0
1105,2025-02-28 13:34:58,"ASUS VivoBook 15 OLED K513EA-L12236 Intel Core i7-1165G7/16GB/512GB SSD/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-vivobook-15-oled-k513ea-l12236-intel-core-i7-1165g7-16gb-512gb-ssd-156,0,0,"4,6/5",0
1106,2025-02-28 13:35:13,"ASUS VivoBook F1500EA-EJ2384W Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Reacondicionado",https://www.pccomponentes.com/asus-vivobook-f1500ea-ej2384w-intel-core-i3-1115g4-8gb-256gb-ssd-156,0,0,"4,5/5",0
1107,2025-02-28 13:35:28,"ASUS VivoBook F515EA-BQ3013W Intel Core i5-1135G7/8GB/512GB/15.6""",https://www.pccomponentes.com/asus-vivobook-f515ea-bq3013w-intel-core-i5-1135g7-8gb-512gb-156,"738,60€",0,"3,5/5",983 valoraciones
1108,2025-02-28 13:35:43,"ASUS Vivobook 14 F1402ZA-EK610 Intel Core i3-1215U/8GB/256GB SSD/14""",https://www.pccomponentes.com/asus-vivobook-14-f1402za-ek610-intel-core-i3-1215u-8gb-256gb-ssd-14,"1526,70€",0,"4,6/5",983 valoraciones
1109,2025-02-28 13:35:58,"ASUS Vivobook 15 M1502YA-NJ150 AMD Ryzen 7 7730U/8GB/512GB SSD/15.6""",https://www.pccomponentes.com/asus-vivobook-15-m1502ya-nj150-amd-ryzen-7-7730u-8gb-512gb-ssd-156,"665,35€",0,"4,4/5",2.404 valoraciones
1110,2025-02-28 13:36:13,"ASUS Vivobook 15 P1502CZA-EJ1728X Intel Core i3-1215U/8GB/512GB SSD/15.6""",https://www.pccomponentes.com/asus-vivobook-15-p1502cza-ej1728x-intel-core-i3-1215u-8gb-512gb-ssd-156,"777,50€",0,"4,4/5",0
1111,2025-02-28 13:36:27,"ASUS Vivobook 16X K3605ZC-PL344W Intel Core i5-12500H/16GB/512GB SSD/RTX 3050/16""",https://www.pccomponentes.com/asus-vivobook-16x-k3605zc-pl344w-intel-core-i5-12500h-16gb-512gb-ssd-rtx-3050-16,"1098,99€",0,"4,6/5",0
