producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria_id,descuento_porcentaje,marca
261,2025-02-28 09:51:13,"Portátil Dell Latitude 7450 Intel Core Ultra 5 135U/16GB/512GB SSD/15.6"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-7450-intel-core-ultra-5-135u-16gb-512gb-ssd-156-teclado-frances,1574.93,1574.93,3.8,271,2,0.0,Desconocida
262,2025-02-28 09:51:28,"Portátil Dell Latitude 7450 Intel Core Ultra 7 155U/16GB/512GB SSD/14""",https://www.pccomponentes.com/portatil-dell-latitude-7450-intel-core-ultra-7-155u-16gb-512gb-ssd-14,1499.0,1499.0,0.0,0,2,0.0,Desconocida
263,2025-02-28 09:51:42,"Portátil Dell Latitude 7450 Intel Core Ultra 7 165U/16GB/512GB SSD/14"" Táctil",https://www.pccomponentes.com/portatil-dell-latitude-7450-intel-core-ultra-7-165u-16gb-512gb-ssd-14-tactil,1879.0,1879.0,0.0,0,2,0.0,Desconocida
264,2025-02-28 09:51:56,"Dell Latitude 7490 Intel Core i5-8350U/8GB/256GB SSD/14""",https://www.pccomponentes.com/dell-latitude-7490-intel-core-i5-8350u-8gb-256gb-ssd-14,530.05,530.05,5.0,271,4,0.0,Desconocida
265,2025-02-28 09:52:15,"Portátil Dell Latitude 7490 Intel Core i7-8650U/16GB/512GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/portatil-dell-latitude-7490-intel-core-i7-8650u-16gb-512gb-ssd-14,462.2,462.2,4.8,133,1,0.0,Desconocida
266,2025-02-28 09:52:30,"Portátil Dell Latitude 7650 Intel Core Ultra 7 155U/16GB/512GB SSD/16""",https://www.pccomponentes.com/portatil-dell-latitude-7650-intel-core-ultra-7-155u-16gb-512gb-ssd-16,1619.0,1619.0,0.0,0,2,0.0,Desconocida
267,2025-02-28 09:52:44,"Portátil Dell Latitude 9450 Intel Core Ultra 7 165U/32 GB/1 TB SSD/14"" Táctil",https://www.pccomponentes.com/portatil-dell-latitude-9450-intel-core-ultra-7-165u-32-gb-1-tb-ssd-14-tactil,2659.0,2659.0,0.0,0,2,0.0,Desconocida
268,2025-02-28 09:53:05,"Dell Latitude 9510 Intel Core i5-10210U/8GB/256GB SSD/15"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-9510-intel-core-i5-10210u-8gb-256gb-ssd-15,0.0,0.0,5.0,0,8,0.0,Desconocida
269,2025-02-28 09:53:18,404,https://www.pccomponentes.com/portatil-dell-precision-3490-intel-core-ultra-7-155h-32gb-1tb-ssd-rtx-500-14-teclado-aleman,0.0,0.0,0.0,0,4,0.0,Desconocida
270,2025-02-28 09:53:37,"Portátil Dell Precision 3590 Intel Core Ultra 7 155H/16GB/512GB SSD/RTX 500/15.6""",https://www.pccomponentes.com/portatil-dell-precision-3590-intel-core-ultra-7-155h-16gb-512gb-ssd-rtx-500-156,1609.0,1609.0,0.0,0,1,0.0,Desconocida
271,2025-02-28 09:53:57,404,https://www.pccomponentes.com/portatil-dell-precision-3590-intel-core-ultra-7-155h-32gb-512gb-ssd-rtx-500-156-teclado-aleman,0.0,0.0,0.0,0,4,0.0,Desconocida
272,2025-02-28 09:54:10,"Portátil Dell Precision 3591 Intel Core Ultra 7 155H/16 GB/512GB SSD/RTX 1000/15.6"" Teclado Portugué",https://www.pccomponentes.com/portatil-dell-precision-3591-intel-core-ultra-7-155h-16-gb-512gb-ssd-rtx-1000-156-teclado-portugues,2379.39,2379.39,4.3,332,1,0.0,Desconocida
273,2025-02-28 09:54:27,"Portátil Dell Precision 3591 Intel Core Ultra 7 155H/16GB/512GB SSD/RTX 1000/15.6""",https://www.pccomponentes.com/portatil-dell-precision-3591-intel-core-ultra-7-155h-16gb-512gb-ssd-rtx-1000-156,2018.99,2018.99,0.0,0,1,0.0,Desconocida
274,2025-02-28 09:54:41,"Portátil Dell Precision 3591 Intel Core Ultra 7 165H/16GB/512GB SSD/RTX 2000/15.6""",https://www.pccomponentes.com/portatil-dell-precision-3591-intel-core-ultra-7-165h-16gb-512gb-ssd-rtx-2000-156,2089.0,2089.0,0.0,0,1,0.0,Desconocida
275,2025-02-28 09:54:55,"Portátil Dell Precision 5490 Intel Core Ultra 7 165H/32GB/1 TB SSD/RTX 1000/14""",https://www.pccomponentes.com/portatil-dell-precision-5490-intel-core-ultra-7-165h-32gb-1-tb-ssd-rtx-1000-14,2778.99,2778.99,0.0,0,1,0.0,Desconocida
276,2025-02-28 09:55:08,"Portátil Dell Precision 5490 Intel Core Ultra 7 165H/32GB/1 TB SSD/RTX 2000/14""",https://www.pccomponentes.com/portatil-dell-precision-5490-intel-core-ultra-7-165h-32gb-1-tb-ssd-rtx-2000-14,3009.0,3009.0,0.0,0,1,0.0,Desconocida
277,2025-02-28 09:55:30,"Dell Precision 5680 Intel Core i9-13900H/32GB/1TB SSD/RTX 3500/16""",https://www.pccomponentes.com/dell-precision-5680-intel-core-i9-13900h-32gb-1tb-ssd-rtx-3500-16,5219.0,5219.0,3.0,0,1,0.0,Desconocida
278,2025-02-28 09:55:48,"Portátil Dell Precision 5690 Intel Core Ultra 7 165H/32 GB/1TB SSD/RTX 2000/16""",https://www.pccomponentes.com/portatil-dell-precision-5690-intel-core-ultra-7-165h-32-gb-1tb-ssd-rtx-2000-16,3009.0,3009.0,0.0,0,1,0.0,Desconocida
279,2025-02-28 09:56:02,"Dell Precision 5770 Intel Core i7-12700H/16GB/512GB SSD/RTX A2000/17"" Táctil",https://www.pccomponentes.com/dell-precision-5770-intel-core-i7-12700h-16gb-512gb-ssd-rtx-a2000-17-tactil,5819.0,5819.0,0.0,0,1,0.0,Desconocida
280,2025-02-28 09:56:56,"Portátil Dell Precision 7680 Intel Core i7-13850HX/32GB/1TB SSD/RTX 2000 Ada/16""",https://www.pccomponentes.com/portatil-dell-precision-7680-intel-core-i7-13850hx-32gb-1tb-ssd-rtx-2000-ada-16,2809.0,2809.0,0.0,0,1,0.0,Desconocida
281,2025-02-28 09:57:10,"Dell Precision 7680 Intel Core i7-13850HX/32GB/1TB SSD/RTX 2000/16"" (PT)",https://www.pccomponentes.com/dell-precision-7680-intel-core-i7-13850hx-32gb-1tb-ssd-rtx-2000-16-pt,3443.01,3443.01,4.3,332,1,0.0,Desconocida
